AppID,primary genre
1037090,Indie 
1111620,Adventure 
512420,Action 
581660,Action 
1487440,Indie 
1310510,Indie 
1197280,Adventure 
1201640,Casual 
1632880,RPG 
1157260,Indie 
871100,Indie 
279260,Adventure 
705060,Action 
31290,Adventure 
1287180,Casual 
1366520,Indie 
716920,Casual 
1139130,Indie 
1109170,Indie 
382180,Action 
678850,Indie 
1162440,Indie 
1146910,Action 
1068860,Adventure 
1560510,Action 
780760,Indie 
1665990,Adventure 
1145220,Casual 
1788850,Adventure 
766680,Adventure 
1282200,Simulation 
1097160,Casual 
1887150,Indie 
793460,Indie 
1182670,Adventure 
485660,Casual 
1236860,Casual 
1479840,Casual 
1015940,Indie 
204300,Free to Play 
1679170,Casual 
775860,Action 
1854250,Indie 
688420,Indie 
1586510,Indie 
874640,Indie 
1607970,Indie 
323020,Indie 
973690,Action 
562690,Casual 
552330,Indie 
1136900,Strategy 
814380,Action 
388540,Indie 
671260,RPG 
6120,Action 
1024570,Indie 
774131,Adventure 
1617880,Adventure 
1426950,Indie 
1236530,Simulation 
1048740,Adventure 
410390,Action 
818050,Adventure 
509420,Sports 
611020,Free to Play 
1916250,Indie 
1755420,Indie 
933900,Indie 
660280,Indie 
251470,Indie 
2063400,Action 
1427800,Free to Play 
2004490,Action 
1741620,Casual 
1555110,Adventure 
1176890,Casual 
1543790,Indie 
1389000,Action 
893570,Adventure 
204120,Adventure 
1935580,Indie 
1175830,Action 
1359980,Action 
1024460,Simulation 
1725430,Indie 
1300670,Action 
458370,Sports 
960940,Sports 
877190,RPG 
1720090,Adventure 
1727000,Action 
